DrugID,Formula,DrugName,Target,Disease,NewDisease
DB07348,C16H24O4,Brefeldin A,CRISPR/Cas9 activator; HSV-1,Anticancer; antiviral,Inflammatory bowel disease
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB00966,C33H30N4O2,Telmisartan,AGTR1,Hypertension,Chikungunya
DB00328,C19H16ClNO4,Indomethacin,PGH2,Rheumatoid arthritis,Dedifferentiated liposarcoma
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic disease; Asthma,Pancreatic cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Chikungunya virus (CHIKV)
DB00455,C22H23ClN2O2,Loratadine,HRH1,Allergy; Allergic rhinitis,Liver Cancer
DB01167,C35H38Cl2N8O4,Itraconazole,CP51,Fungal infection,Visceral leishmaniasis
DB00912,C27H36N2O4,Repaglinide,ABCC8; ABCC9,Diabetic complication,Glioblastoma multiforme
DB00481,C28H27NO4S,Raloxifene,ESR1,Osteoporosis,Liver Cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,Breast cancer lung metastasis
DB01104,C17H17Cl2N,Sertraline,SC6A4,Depression,Alzheimer's disease (AD)
DB00321,C20H23N,Amitriptyline,SC6A4; SC6A2,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00515,Cl2H6N2Pt,Cisplatin,TERT,Solid tumour/cancer; Osteosarcoma,Nosocomial pathogen Pseudomonas aeruginosa
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Neuroendocrine prostate cancer
DB01103,C23H30ClN3O,Quinacrine,PA21B,Plasmodium infection; Giardia infection,Atheter-related bloodstream infections
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,HCMV
DB06145,C43H74N2O14,Spiramycin,Gram-positive bacteria,Bacterial infection,Anti-inflammatory
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,Cryptococcosis
DB00922,C14H12N6O,Levosimendan,TNNC1,Congestive heart failure; Heart failure; Cardiac output syndrome; Pulmonary hypertension,Lymphoma
DB12834,C7H11N3O3,Secnidazole,Anaerobic microorganisms,Pseudomonas aeruginosa; Bacterial vaginosis; Amoebiasis,Pseudomonas aeruginosa Infection
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic rhinitis; Exercise-induced bronchospasm; Asthma,SARS-CoV-2
DB00549,C31H33N3O6S,Zafirlukast,CLTR1,Asthma,Tuberculosis
DB06803,C13H8Cl2N2O4,Niclosamide,ATP synthase,Cestodes infection,Diabetesa€?induced endothelial dysfunction
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic rhinitis; Exercise-induced bronchospasm; Asthma,SARS-CoV-2
DB00313,C8H16O2,Valproic acid,GSK3A,Epilepsy; Hypercholesterolemia; Coronavirus Disease 2019 (COVID-19),Prostate cancer
DB06782,C3H8OS2,Dimercaprol,Heavy metal ions,Poison intoxication,Snakebite
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB01076,C33H35FN2O5,Atorvastatin,HMDH,Cardiovascular disease,Vulvovaginal and oral candidiasis
DB05105,C18H18F3N3O3,Pleconaril,CAPSD,Virus infection,Type I diabetes
DB05766,,Norclozapine,ACM1,Schizophrenia,Dengue Virus
DB06782,C3H8OS2,Dimercaprol,Heavy metal ions,Poison intoxication,Snakebite
DB00495,C10H13N5O4,Zidovudine,FLT3; POL,Human immunodeficiency virus infection,Multidrug-resistant (MDR) Enterobacterales
DB00460,C41H42N4O8,Verteporfin,CNV,Macular degeneration; Psoriasis vulgaris,IDH Mutant Gliomas
DB00560,C29H39N5O8,Tigecycline,F4NA87,Skin infection,Carbapenem-resistant Enterobacteriaceae (CRE)
DB00515,Cl2H6N2Pt,Cisplatin,TERT,Solid tumour/cancer; Osteosarcoma,Nosocomial pathogen Pseudomonas aeruginosa
DB01110,C18H14Cl4N2O,Miconazole,CP51,Fungal infection,Candida infections
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malarial,Malignant Pleural Mesothelioma
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB05105,C18H18F3N3O3,Pleconaril,CAPSD,Virus infection,Type I diabetes
DB01136,C24H26N2O4,Carvedilol,Adrenergic receptors,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,Breast cancer lung metastasis
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Coronavirus Disease 2019 (COVID-19),Dengue Virus
DB01069,C17H20N2S,Promethazine,HRH1,Nausea,Colorectal cancer
DB00560,C29H39N5O8,Tigecycline,F4NA87,Skin infection,Carbapenem-resistant Enterobacteriaceae (CRE)
DB00922,C14H12N6O,Levosimendan,TNNC1,Congestive heart failure; Heart failure; Cardiac output syndrome; Pulmonary hypertension,Lymphoma
DB09241,C16H18ClN3S,Methylene blue,redox indicator,Acquired methemoglobinemia,Nonalcoholic fatty liver disease; steatosis and steatohepatitis
DB00495,C10H13N5O4,Zidovudine,FLT3; POL,Human immunodeficiency virus infection,Multidrug-resistant (MDR) Enterobacterales
DB12466,C5H4FN3O2,Favipiravir,RPOA; RPOB; RPOC; RPOZ,Influenza virus infection,Type I diabetes
DB00715,C19H20FNO3,Paroxetine,SC6A4,Depression; Anxiety,Human colon cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,Breast cancer lung metastasis
DB00549,C31H33N3O6S,Zafirlukast,CLTR1,Asthma,Tuberculosis
DB06803,C13H8Cl2N2O4,Niclosamide,ATP synthase,Cestodes infection,Diabetesa€?induced endothelial dysfunction
DB00972,C22H24ClN3O,Azelastine,HRH1,Allergic conjunctivitis,SARS-CoV-2
DB00788,C14H14O3,Naproxen,PGH2; PGH1,Osteoarthritis; Pain,Influenza A virus.
DB00344,C19H21N,Protriptyline,SC6A2,Depression,Alzheimer's disease
DB00564,C15H12N2O,Carbamazepine,voltage-gated sodium channels,Congestive heart failure; Hypertension; Depression; Epilepsy; Type-1 diabetes; Gastric adenocarcinoma,Epileptic encephalopathy
DB00997,C27H29NO11,Doxorubicin,TOP2A; TOP2B; TERT,Type 2 diabetes; Solid tumour/cancer; Hepatocellular carcinoma; Breast cancer,Cervical cancer
DB06290,C38H47N5O7S2,Simeprevir,POLG,Chronic HCV-1 infection,MRSA
DB06712,C19H19N3O6,Nilvadipine,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB00471,C35H36ClNO3S,Montelukast,CLTR1,Allergic disease; Asthma,Pancreatic cancer
DB09031,C21H46NO4P,Miltefosine,PA21B,Leishmaniasis; Visceral leishmaniasis,Visceral leishmaniasis
DB07615,C18H17NO5,Tranilast,HRH1; STS,Bronchial asthma; allergic rhinitis; Ocular allergy,Neuropathic Pain
DB09238,C35H38N4O6,Manidipine,CYSP,Hypertension,Human cytomegalovirus (HCMV) infections
DB00515,Cl2H6N2Pt,Cisplatin,TERT,Solid tumour/cancer; Osteosarcoma,Nosocomial pathogen Pseudomonas aeruginosa
DB01103,C23H30ClN3O,Quinacrine,PA21B,African sleeping sickness; African river blindness,SARS-CoV-2
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Chronic Liver Thrombocytopenia; Idiopathic thrombocytopenic purpura,SARS-CoV-2
DB06555,C30H31FN2O,Siramesine,ADA1A; ADA1B; ADA1D,Depression; Anxiety,Fungal infections
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB11594,C22H40NO,Domiphen,fungal CYP450 14?¡À-lanosterol demethylase,Fungal infection,Candida infections
DB01104,C17H17Cl2N,Sertraline,SC6A4,Depression,Alzheimer's disease (AD)
DB06782,C3H8OS2,Dimercaprol,Heavy metal ions,Poison intoxication,Snakebite
DB09274,C19H28O8,Artesunate,cell membrane,Malaria,Depression
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,SARS-CoV-2
DB06782,C3H8OS2,Dimercaprol,Heavy metal ions,Poison intoxication,Snakebite
DB00540,C19H21N,Nortriptyline,SC6A4,Bladder cancer; Depression,Multiple myeloma
DB00328,C19H16ClNO4,Indomethacin,PGH2,Allergy; Asthma; Rheumatoid arthritis,SARS-CoV-2 infection
DB00641,C25H38O5,Simvastatin,HMDH,Epilepsy; Hypercholesterolaemia,Prostate cancer
DB06401,C30H34N2O3,Bazedoxifene,ESR1,Osteopetrosis,Persistent HPV (Human Papillomavirus) infection
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Gastric cancer
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB00549,C31H33N3O6S,Zafirlukast,CLTR1,Asthma,Tuberculosis
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,NSCLC
DB12422,C6H11NOS2,Sulforaphane,Nrf2,Solid tumour/cancer,Ovarian cancer
DB00641,C25H38O5,Simvastatin,HMDH,Hypercholesterolaemia,Antibacterial
DB00715,C19H20FNO3,Paroxetine,SC6A4,Depression,Alzheimer's disease (AD)
DB00737,C25H27ClN2,Meclozine,NR1I3,Motion sickness,Achondroplasia
DB00641,C25H38O5,Simvastatin,HMDH,Hypercholesterolaemia,Antibacterial
DB04835,C29H41F2N5O,Maraviroc,CCR5,Human immunodeficiency virus infection; Chronic obstructive pulmonary disease,Metastatic triple-negative breast cancer
DB06712,C19H19N3O6,Nilvadipine,CAC1C; CAC1D,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Cervical cancer
DB14480,C5H10N2O2S,Acetylcysteine amide,glutathione,Acetaminophen toxicity,Dengue
DB00320,C33H37N5O5,Dihydroergotamine,DRD2,Headaches; Migraine,Liver fibrosis
DB00507,C12H9N3O5S,Nitazoxanide,PNO,Diarrhea,Quiescent and glucose-deprived clonogenic colon tumour cells
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Multiple myeloma
DB06555,C30H31FN2O,Siramesine,ADA1A; ADA1B; ADA1D,Depression; Anxiety,Fungal infections
DB06290,C38H47N5O7S2,Simeprevir,POLG,Chronic HCV-1 infection,MRSA
DB00331,C4H11N5,Metformin,ACACB; S47A1,Type-2 diabetes,Liver tissue damage associated with prostate cancer and diabetes
DB00608,C18H26ClN3,Chloroquine,ACKR1,Coronavirus Disease 2019 (COVID-19); Adenovirus; Malaria,Crimean-Congo hemorrhagic fever virus
DB00740,C8H5F3N2OS,Riluzole,SCNBA,Amyotrophic lateral sclerosis,"Niemann-Pick disease, type C1"
DB01100,C28H29F2N3O,Pimozide,DRD2,Schizophrenia,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis; African sleeping sickness; African river blindness,SARS-CoV-2
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Schistosomiasis
DB13855,C12H9N3O5,Nifuroxazide,Bacterial enzymes,Diarrhoea,Pulmonary fibrosis
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African sleeping sickness; African river blindness; African trypanosomiasis,Breast cancer lung metastasis
DB00973,C24H21F2NO3,Ezetimibe,NPCL1,Hypercholesterolaemia,Visceral leishmaniasis
DB00966,C33H30N4O2,Telmisartan,AGTR1,Hypertension,Chikungunya
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Gastric cancer
DB01110,C18H14Cl4N2O,Miconazole,CP51,Fungal infection,Candida infections
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Gastric cancer
DB01051,C31H36N2O11,Novobiocin,TOP2A; TOP2B,Bacterial infection,Chikungunya
DB09115,C9H5I2NO,Diiodohydroxyquinoline,cytochrome b,fungal infection; Parasitic infection,Cancer
DB01029,C25H28N6O,Irbesartan,AGTR1,Hypertension,HBV
DB07954,C10H14N4O2,3-isobutyl-1-methyl-7H-xanthine,AA2BR; PDE4B; PDE4D; PDE5A; PDE4A; AA2AR; AA1R; AA3R; PDE2A; PDE3A,Chronic obstructive pulmonary disease; Bronchial Asthma,Dedifferentiated liposarcoma
DB00203,C22H30N6O4S,Sildenafil,PDE5,Erectile dysfunction; Coronavirus Disease 2019 (COVID-19),Lung cancer
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Multiple myeloma
DB08901,C29H27F3N6O,Ponatinib,RET; FLT3; KIT; ABL1; BCR,Chronic myeloid leukemia; Acute lymphoblastic leukaemia,KIT-mutation-bearing melanomas
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malaria,Acute myeloid leukemia
DB14480,C5H10N2O2S,Acetylcysteine amide,glutathione,Acetaminophen toxicity,Dengue
DB12783,C10H15N3O5,Benserazide,DDC,Parkinson,Tumor
DB00205,C12H13ClN4,Pyrimethamine,FOLR1,Malaria,Lung cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB01058,C19H24N2O2,Praziquantel,HPGDS,Schistosomiasis,Psoriasis
DB08604,C12H7Cl3O2,Triclosan,Q965D5,Malaria,Prostate cancer
DB11619,C21H24O2,Gestrinone,ESR1,Endometriosis; Breast cancer,Gynecological cancers
DB00540,C19H21N,Nortriptyline,SC6A4,Bladder cancer; Depression,Multiple myeloma
DB13855,C12H9N3O5,Nifuroxazide,Bacterial enzymes,Diarrhoea,Pulmonary fibrosis
DB00746,C25H48N6O8,Deferoxamine,Iron ions,Acute iron or aluminum toxicity,Pompe disease
DB14480,C5H10N2O2S,Acetylcysteine amide,glutathione,Acetaminophen toxicity,Dengue
DB00571,C16H21NO2,Propranolol,ADRB1,Migraine,Colorectal cancer
DB01136,C24H26N2O4,Carvedilol,Adrenergic receptors,Congestive heart failure; Hypertension; Depression,Epileptic encephalopathy
DB00675,C26H29NO,Tamoxifen,ESR1,Breast cancer,Immune-mediated diseases
DB01069,C17H20N2S,Promethazine,HRH1,Nausea,Colorectal cancer
DB00786,C15H29N3O5,Marimastat,MMP1; MMP2; MMP7,Pancreatic cancer; Lung cancer; Tissue repair disorder; Tumor development; Inflammatory disorder,"Venom of the western diamondback rattlesnake, Crotalus atrox"
DB06145,C43H74N2O14,Spiramycin,Gram-positive bacteria,Bacterial infection,Anti-inflammatory
DB00571,C16H21NO2,Propranolol,ADRB1,Migraine,Colorectal cancer
DB11594,C22H40NO,Domiphen,fungal CYP450 14?¡À-lanosterol demethylase,Fungal infection,Candida infections
DB00938,C25H37NO4,Salmeterol,ADRB2,Asthma; Chronic obstructive pulmonary disease,Down syndrome
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB00972,C22H24ClN3O,Azelastine,HRH1,Allergic conjunctivitis,SARS-CoV-2
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Coronavirus Disease 2019 (COVID-19),Dengue Virus
DB00320,C33H37N5O5,Dihydroergotamine,DRD2,Headaches; Migraine,Liver fibrosis
DB11526,C28H30N6OS,Masitinib,SRC,Amyotrophic lateral sclerosis; Metastatic gastric or gastroesophageal junction cancer; Multiple sclerosis; Gastrointestinal stromal tumour; Ovarian cancer; Pancreatic cancer,COVID-19
DB09274,C19H28O8,Artesunate,cell membrane,Malaria,Depression
DB09017,C15H10BrClN4S,Canagliflozin,SC5A2,Type-1 diabetes; Type-2 diabetes; Diabetic nephropathy,Blood-brain barrier crossing ability
DB04835,C29H41F2N5O,Maraviroc,CCR5,Human immunodeficiency virus infection; Chronic obstructive pulmonary disease,Metastatic triple-negative breast cancer
DB00828,C3H7O4P,Fosfomycin,MURA,Bacterial infection,Multidrug-resistant (MDR) Enterobacterales
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB00495,C10H13N5O4,Zidovudine,FLT3; POL,Human immunodeficiency virus infection,Carbapenem-resistant Enterobacteriaceae (CRE)
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin reuptake,Depression,Arthritic
DB00602,C95H146O28,Ivermectin,GABA,Onchocerciasis,Tegumentary leishmaniasis
DB05766,,Norclozapine,ACM1,Schizophrenia,Dengue Virus
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB00615,C46H62N4O11,Rifabutin,RNA polymerase,Mycobacterium infection; Tuberculosis,M. abscessus lung disease
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB00972,C22H24ClN3O,Azelastine,HRH1,Allergic conjunctivitis,Colorectal cancer
DB00938,C25H37NO4,Salmeterol,ADRB2,Chronic obstructive pulmonary disease,Dengue Virus
DB00472,C17H18F3NO,Fluoxetine,SC6A4,Depression,Neuroendocrine prostate cancer
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis; African sleeping sickness; African river blindness,SARS-CoV-2
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB00477,C17H19ClN2S,Chlorpromazine,DRD2,Malaria; Adenovirus; Schizophrenia,Crimean-Congo hemorrhagic fever virus
DB08931,C20H19FN8O2,Riociguat,GUC2D,Pulmonary arterial hypertension,Podocyte Injury
DB01029,C25H28N6O,Irbesartan,AGTR1,Hypertension,HBV
DB09241,C16H18ClN3S,Methylene blue,methemoglobin,Bipolar disorder; Methhemeglobinemia; Acquired methemoglobinemia,Neurological deficits associated with OP exposure
DB00313,C8H16O2,Valproic acid,GSK3A,Epilepsy; Hypercholesterolemia; Coronavirus Disease 2019 (COVID-19),Prostate cancer
DB01407,C12H18Cl2N2O,Clenbuterol,ADRB2,Asthma; Chronic breathing disorder,Down syndrome
DB00811,C8H12N4O5,Ribavirin,IMDH1,Hepatitis C virus infection,Type I diabetes
DB01117,C22H19ClO3,Atovaquone,PYRD,Pneumocystis pneumonia; Fungal infection,Triple-negative breast cancer (TNBC)
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin system,Depression,Alzheimer's disease (AD)
DB00811,C8H12N4O5,Ribavirin,IMDH1,Hepatitis C virus infection,Type I diabetes
DB01073,C10H12FN5O4,Fludarabine,ADA,Chronic lymphocytic leukaemia; Haematological malignancy,Malignant pleural mesothelioma
DB01103,C23H30ClN3O,Quinacrine,PA21B,Malarial,Malignant Pleural Mesothelioma
DB04786,C51H40N6O23S6,Suramin,FSHR; HPSE,African trypanosomiasis,Zika virus infection
DB06210,C25H22N4O4,Eltrombopag,thrombopoietin receptor (c-Mpl receptor),Chronic Liver Thrombocytopenia; Idiopathic thrombocytopenic purpura,SARS-CoV-2
DB01167,C35H38Cl2N8O4,Itraconazole,CP51,Fungal infection,Visceral leishmaniasis
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB05766,,Norclozapine,ACM1,Schizophrenia,Dengue Virus
DB01029,C25H28N6O,Irbesartan,AGTR1,Hypertension,HBV
DB09241,C16H18ClN3S,Methylene blue,redox indicator,Acquired methemoglobinemia,Nonalcoholic fatty liver disease; steatosis and steatohepatitis
DB01100,C28H29F2N3O,Pimozide,DRD2,Schizophrenia,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses
DB06803,C13H8Cl2N2O4,Niclosamide,ATP synthase,Cestodes infection,HMGA2-Overexpressing Human Colorectal Cancer
DB01029,C25H28N6O,Irbesartan,AGTR1,Hypertension,HBV
DB00811,C8H12N4O5,Ribavirin,IMDH1,Hepatitis C virus infection,Type I diabetes
DB00613,C20H22ClN3O,Amodiaquine,HNMT,Malaria,SARS-CoV-2
DB01141,C56H71N9O23S,Micafungin,FKS2,Candidiasis,Hand-foot-mouth disease (HFMD); severe neurological complications
DB00822,C10H20N2S4,Disulfiram,AL3A2,Alcohol dependence,Multiple myeloma
DB11526,C28H30N6OS,Masitinib,SRC,Amyotrophic lateral sclerosis; Metastatic gastric or gastroesophageal junction cancer; Multiple sclerosis; Gastrointestinal stromal tumour; Ovarian cancer; Pancreatic cancer,COVID-19
DB06803,C13H8Cl2N2O4,Niclosamide,Mitochondrial oxidative phosphorylation in parasites,Cestodes infection,Hepatocellular Carcinoma???HCC??¡ë
DB06803,C13H8Cl2N2O4,Niclosamide,ATP synthase,Cestodes infection,HMGA2-Overexpressing Human Colorectal Cancer
DB08908,C6H8O4,Dimethyl Fumarate,Nrf2,Multiple Sclerosis,Parkinson's Disease
DB08901,C29H27F3N6O,Ponatinib,RET; FLT3; KIT; ABL1; BCR,Chronic myeloid leukemia; Acute lymphoblastic leukaemia,KIT-mutation-bearing melanomas
DB01100,C28H29F2N3O,Pimozide,DRD2,Schizophrenia,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses
DB00515,Cl2H6N2Pt,Cisplatin,TERT,Solid tumour/cancer; Osteosarcoma,Nosocomial pathogen Pseudomonas aeruginosa
DB12242,C17H19FN4O2S,AZD-7762,CHK1,Solid tumour/cancer,Degranulation of mast cells and allergic response
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB09079,C31H33N5O4,Nintedanib,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),Heart Failure
DB09238,C35H38N4O6,Manidipine,CYSP,Hypertension,Human cytomegalovirus (HCMV) infections
DB06292,C21H25ClO6,Empagliflozin,SC5A2,Type-1 diabetes,Blood-brain barrier crossing ability
DB00535,C14H13N5O5S2,Cefdinir,Bacterial cell wall,Bacterial infection,Tuberculosis (TB)
DB11672,C21H20O6,Curcumin,CAH2; CAH4; CAH1; CAH12; CAH14; CAH9; CAH6; PGH2; MMP9; MMP13; PGH1; A4; XDH; NOS2; CP3A4; DNM3B,Solid tumour/cancer,Ovarian cancer
DB00920,C19H19NOS,Ketotifen,HRH1,Allergic conjunctivitis,SARS-CoV-2 infection
DB00966,C33H30N4O2,Telmisartan,AGTR1,Hypertension,Chikungunya
DB08865,C21H22Cl2FN5O,Crizotinib,MET; ALK; ROS1,Non-small-cell lung cancer,Gram-Positive Bacteria
DB00507,C12H9N3O5S,Nitazoxanide,PNO,Diarrhea; Coronavirus Disease 2019 (COVID-19),Atherosclerosis
DB01782,C14H8N2O,Pyrazolanthrone,TTK; MK08; MK09; MK10,Oxidative stress; Neuroinflammation; Brain degeneration,Neuroinflammation Induced by MCAO
DB00176,C15H21F3N2O2,Fluvoxamine,Serotonin system,Depression,Alzheimer's disease (AD)
DB07954,C10H14N4O2,3-isobutyl-1-methyl-7H-xanthine,AA2BR; PDE4B; PDE4D; PDE5A; PDE4A; AA2AR; AA1R; AA3R; PDE2A; PDE3A,Chronic obstructive pulmonary disease; Bronchial Asthma,Dedifferentiated liposarcoma
DB00786,C15H29N3O5,Marimastat,MMP1; MMP2; MMP7,Pancreatic cancer; Lung cancer; Tissue repair disorder; Tumor development; Inflammatory disorder,"Venom of the western diamondback rattlesnake, Crotalus atrox"
