DrugName,DrugID,PubChemID,Target,Disease,Side_effect,NewDirectTarget,NewIndirectTarget,NewDisease,Evidence,Insilico,Invitro,Invivo,Clinicaltrial,SupportedSentences,PMID
Novobiocin,DB01051,54675769,TOP2A; TOP2B,Bacterial infection,,,Chikungunya nsP2 protease,Chikungunya,SPR experiments; small angle x-ray scattering; Protease activity measurement; plaque formation assays,,SPR experiments; Small angle x-ray scattering; Protease activity measurement; Plaque formation assays,,,"We utilized an in-silico drug screening with FDA approved molecule library to identify inhibitors of the chikungunya nsP2 protease, a multifunctional and essential non-structural protein required for virus replication. Telmisartan, an anti-hypertension drug, and the antibiotic novobiocin emerged among top hits on the screen.",32791353
Telmisartan,DB00966,65999,AGTR1,Hypertension,,,Chikungunya nsP2 protease,Chikungunya,SPR experiments; small angle x-ray scattering; Protease activity measurement; plaque formation assays,,SPR experiments; Small angle x-ray scattering; Protease activity measurement; Plaque formation assays,,,"We utilized an in-silico drug screening with FDA approved molecule library to identify inhibitors of the chikungunya nsP2 protease, a multifunctional and essential non-structural protein required for virus replication. Telmisartan, an anti-hypertension drug, and the antibiotic novobiocin emerged among top hits on the screen.",32791353
Eltrombopag,DB06210,9846180,thrombopoietin receptor (c-Mpl receptor),Chronic Liver Thrombocytopenia; Idiopathic thrombocytopenic purpura,,,The transmembrane spike (S) glycoprotein,SARS-CoV-2,Homology Modeling; Surface plasmon resonance; Virtual drug design; in vitro molecular interaction experiments,,Homology modeling; Surface plasmon resonance; Molecular interaction experiments,,,Eltrombopag is a potential target for drug intervention in SARS-CoV-2 spike protein,32540428
Linagliptin,DB08882,10096344,DPP4,Type-2 diabetes,,,Rb; Pro-caspase3; Bcl-2,Colorectal cancer,Western blot; Gene regulatory network,Gene regulatory network,Western blot,,,"Hypoglycemic drug linagliptin could potentially lead to novel therapeutics for the treatment of tumors, especially for colorectal cancer.",32194417
Amodiaquine,DB00613,2165,HNMT,Malaria,,,Papain-like protease,SARS-CoV-2,structural analysis; molecular docking; molecular dynamics simulations; in vitro experiment,Molecular docking; Molecular dynamics simulations,Structural analysis,,,"Virtual screening highlighted amodiaquine and methylene blue as the best candidates, and these findings were complemented by the in vitro results that indicated amodiaquine as a ??M PLpro deubiquitinase inhibitor.",36453012
Methylene blue,DB09241,6099,methemoglobin,Acquired methemoglobinemia,,,Papain-like protease,SARS-CoV-2,structural analysis; molecular docking; molecular dynamics simulations; in vitro experiment,Molecular docking; Molecular dynamics simulations,Structural analysis,,,"Virtual screening highlighted amodiaquine and methylene blue as the best candidates, and these findings were complemented by the in vitro results that indicated amodiaquine as a ??M PLpro deubiquitinase inhibitor.",36453012
Micafungin,DB01141,477468,FKS2,Candidiasis,,,EV71,Hand-foot-mouth disease (HFMD); severe neurological complications,in vitro-transcribed EV71-replicon RNAs; assayed for firefly luciferase activity,,RNA transcription; Firefly luciferase activity,,,"We identified micafungin, an echinocandin antifungal drug, as a novel inhibitor of EV71. Micafungin potently inhibits the proliferation of EV71 as well as the replication of EV71 replicon in cells with a low micromolar IC50 (~5 ??M).",27296985
Eltrombopag,DB06210,9846180,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,,,Late Processes of the Replication Cycle (Fe3+ chelation),HCMV,Virus Infectivity Assay; Viability Assay; Virus Yield Assay; Immunoblotting,,Virus infectivity assay; Viability assay; Virus yield assay; Immunoblotting,,,Therapeutic eltrombopag concentrations inhibit HCMV replication via chelation of Fe3+ ions. Eltrombopag is effective against drug-resistant viruses and synergistically increases the effects of the mainstay anti-HCMV drug ganciclovir.,31861948
Ketotifen,DB00920,3827,HRH1,Allergic conjunctivitis; Allergic rhinitis; Bronchial asthma,,,IL-6/STAT3 pathway,Neuroendocrine prostate cancer,Drug screening; RT-qPCR; Western blot; Celltiter-Glo; Flow cytometry; Colony formation assay; Wound healing assay; Transwell assay; RNA sequencing; H&E; IHC; ELISA,Virtual screening,RT-qPCR; RNA sequencing; Western blot; Celltiter-Glo; Flow cytometry; Colony formation assay; Wound healing assay; Transwell assay; H&E; IHC; ELISA,,,Repurposing ketotifen as a therapeutic strategy for neuroendocrine prostate cancer by targeting the IL-6/STAT3 pathway,37120492
Repaglinide,DB00912,65981,ABCC8; ABCC9,Diabetic complication,,,Bcl-2; Beclin-1; PD-L1,Glioblastoma multiforme,In vitro experiments,,Cell viability assay; Cell migration assay,Mouse modeling,,"Drug repositioning in Connectivity Map by using the gene expression signature identified repaglinide, a first-line drug for diabetes mellitus, as the most promising novel drug for GBM.",28476618
Tamoxifen,DB00675,2733526,ESR1,Breast cancer,,,Although TAM-estrogen receptor interaction is well recognized; we still do not understand its entire mechanism of action.,Schistosomiasis,in vivo experiments,,Schistosomicidal assays,Mouse modeling,,"Repurposing anti-cancer and antibacterial drugs against several helminthic infections has been trialed, due to reduced costs and ethical reasons (Cowan and Keiser 2015; Panic et al. 2014). One of these drugs is tamoxifen (TAM), an anti-cancer drug widely used to treat and prevent breast cancer as it works as a selective estrogen receptor modulator (Bhattacharya et al. 2017).",30798369
Zidovudine,DB00495,35370,FLT3; POL,Human immunodeficiency virus infection,,,Cellular kinases,Carbapenem-resistant Enterobacteriaceae (CRE),Minimum inhibitory concentration (MIC) determination assay; Bactericidal/static determination assay; Time-kill assay,,MIC determination assay; Bactericidal/static determination assay; Time-kill assay,,,Repurposing Zidovudine in combination with Tigecycline for treating carbapenem-resistant Enterobacteriaceae infections,29019016
Tigecycline,DB00560,54686904,F4NA87,Skin infection,,,Bacterial ribosome,Carbapenem-resistant Enterobacteriaceae (CRE),Minimum inhibitory concentration (MIC) determination assay; Bactericidal/static determination assay; Time-kill assay,,MIC determination assay; Bactericidal/static determination assay; Time-kill assay,,,Repurposing Zidovudine in combination with Tigecycline for treating carbapenem-resistant Enterobacteriaceae infections,29019016
Irbesartan,DB01029,3749,AGTR1,Hypertension,,,Na(+)-dependent taurocholate cotransporting polypeptide,HBV,transcription activator-like effector nucleases (TALEN) technology,,TALEN technology,,,"Irbesartan, an FDA approved drug for hypertension and diabetic nephropathy, is a potent inhibitor for hepatitis B virus entry by disturbing Na(+)-dependent taurocholate cotransporting polypeptide activity",26086883
Eltrombopag,DB06210,9846180,thrombopoietin receptor (c-Mpl receptor),Thrombocytopenia; Idiopathic thrombocytopenic purpura,,,Virulence factors and the calcineurin pathway,Cryptococcosis,fractional inhibitory concentration index (FICI); RNA sequencing; deletion mutant library screening experiments,,FICI; RNA sequencing; deletion mutant library screening experiments,,,"In conclusion, eltrombopag exhibited excellent antifungal activity against Cryptococcus species potentially via a mode of action which interferes with virulence factors and the calcineurin pathway, indicating that eltrombopag might be usefully repurposed as an antifungal agent for treating cryptococcosis.",31297540
Itraconazole,DB01167,55283,CP51,Fungal infection,,,CYP51,Visceral leishmaniasis,Cytotoxicity assay; Antiamastigote activity; Experimental animals and ethics statement,,Cytotoxicity assay; Antiamastigote activity,,Experimental animals,"The results demonstrate for the first time the activity of ezetimibe in a viscerotropic species of Leishmania and indicate that ternary treatment composed of miltefosine, itraconazole, and ezetimibe at low doses is a promising therapeutic alternative for the treatment of visceral leishmaniasis.",33619058
Ezetimibe,DB00973,150311,NPCL1,Hypercholesterolaemia,,,CYP51,Visceral leishmaniasis,Cytotoxicity assay; Antiamastigote activity; Experimental animals and ethics statement,,Cytotoxicity assay; Antiamastigote activity,,Experimental animals,"The results demonstrate for the first time the activity of ezetimibe in a viscerotropic species of Leishmania and indicate that ternary treatment composed of miltefosine, itraconazole, and ezetimibe at low doses is a promising therapeutic alternative for the treatment of visceral leishmaniasis.",33619058
Miltefosine,DB09031,3599,PA21B,Leishmaniasis; Visceral leishmaniasis,,,CYP51,Visceral leishmaniasis,Cytotoxicity assay; Antiamastigote activity; Experimental animals and ethics statement,,Cytotoxicity assay; Antiamastigote activity,,Experimental animals,"The results demonstrate for the first time the activity of ezetimibe in a viscerotropic species of Leishmania and indicate that ternary treatment composed of miltefosine, itraconazole, and ezetimibe at low doses is a promising therapeutic alternative for the treatment of visceral leishmaniasis.",33619058
Benserazide,DB12783,2327,DDC,Parkinson,,,Hexokinase 2 (HK2) (most closely related to malignant tumor),Tumor,In vitro enzyme inhibition assay; Microscale thermophoresis (MST) assay; Cytotoxicity test; Western blog,,Enzyme inhibition assay; MST assay; Cytotoxicity test; Western blot,,,"Benserazide, a dopadecarboxylase inhibitor, suppresses tumor growth by targeting hexokinase 2",28427443
Crizotinib,DB08865,11626560,MET; ALK; ROS1,Non-small-cell lung cancer,,,CTP Synthase PyrG,Gram-Positive Bacteria,determination of the MIC; Scanning electron microscopy analysis; RT-qPCR,,MIC; Scanning electron microscopy analysis; RT-qPCR,,,"In this study, we found that a repurposed drug, crizotinib, exhibits excellent antibacterial activity against drug-resistant bacteria both in vivo and in vitro via suppressing ATP production and pyrimidine metabolism. Crizotinib was found to disturb pyrimidine metabolism by targeting the CTP synthase PyrG, thus reducing DNA synthesis. This unique mechanism of action may explain the decreased development of resistance by Staphylococcus aureus to crizotinib.",35674439
Nortriptyline,DB00540,4543,SC6A4,Bladder cancer; Depression,,,Caspase-3; annexin V,Multiple myeloma,Cell viability assays; Flow cytometry; Cell cycle analysis; Apoptosis assays; Statistical analysis,,Cell viability assays; Flow cytometry; Cell cycle analysis; Apoptosis assays,,,In vitro anticancer effect of tricyclic antidepressant nortriptyline on multiple myeloma,30930625
Amodiaquine,DB00613,2165,HNMT,Malaria,,,Caspase-3; LC3B-II,NSCLC,scratch assay; clonogenic assay,,Scratch assay; Clonogenic assay,,,Development of pharmaceutically scalable inhaled anti-cancer nanotherapy - Repurposing amodiaquine for non-small cell lung cancer (NSCLC),32600728
Brefeldin A,DB07348,5287620,CRISPR/Cas9 activator; HSV-1,Anticancer; antiviral,,,cGAS; NLRP3,Inflammatory bowel disease,Anti-inflammatory Assay Mouse Model Validation of Drug Efficacy,,,Mouse modeling,,BFA inhibited inflammation through blocking cGAS expression and type I IFN response in colitis model and human colon cancer cells,34158863
Nintedanib,DB09079,9809715,Receptor Tyrosine Kinases (RTKs),Idiopathic pulmonary fibrosis; Coronavirus Disease 2019 (COVID-19),,Treg cells (CTLA-4 and PD-1 expressing CD4+ T cells),COL1A1; COL3A1; bFGF; bFGF,Heart Failure,qPCR; Cell migration assay; Western blot; flow cytometric analysis,,RT-qPCR; Cell migration assay; Western blot; flow cytometric analysis,,,"NTB treatment remarkably reduced cardiac fibrosis as confirmed by Massona€?s trichrome staining and decreased expression of collagen genes (COL1A1, COL3A1). NTB treatment inhibited TGF-?21-induced production of fibrogenic protein (?¡À-SMA and fibronectin). NTB treatment prevented bFGF induced ERK and AKT activation in cardiac fibroblasts. our in vitro experiments demonstrated that NTB treatment leads to induction of immunosuppressive phenotype in Treg cells;",33965510
Rilpivirine,DB08864,6451164,POL; SCNAA,Human immunodeficiency virus infection,,,Adipor1; Pnpla3; Lepr; NF-?oB and Casp1; Il-6; STAT3; STAT1,Chronic liver injury,western blot; RT-PCR; Myeloperoxidase activity,,Western blot; RT-PCR; Myeloperoxidase activity,,,"RPV altered theexpression of several genes involved in lipid metabolism, upregulating the antisteatotic genes Adipor1 and Pnpla3 and decreasing the expression of the pro-steatotic gene Lepr. RPV also exerted anti-inflammatory actions, significantly diminishing MPO activity, NF-?oB and Casp1 activation.RPV enhanced STAT3-dependent proliferation in hepatocytes and apoptosis in HSC through selective STAT1 activation in mice; RPV undermined STAT3 activation and triggered STAT1-mediated pathways and apoptosis in HSC",31530714
Naltrexone,DB00704,5360515,opioid receptors,Chronic alcoholism; Coronavirus Disease 2019 (COVID-19),,Toll-like receptor 4,iNOS; CD206; p70S6K,Inflammatory,Immunofluorescence; Western blot,,Immunofluorescence; Western blot,,,"Naltrexone in low doses ranging from 1 to 5 mg, acts as a glial modulator by specifically binding to Toll-like receptor 4 (TLR-4) as an antagonist. LDN induced a shift from highly activated pro-inflammatory phenotype (iNOShighCD206low) to quiescent anti-inflammatory M2 phenotype (iNOSlowCD206high) in BV-2 microglia cells. dministration of LDN increases total protein expression of p70S6K in a dose dependent manner.",34445130
Promethazine,DB01069,4927,HRH1,Nausea,,,Bcl-2; Bax; caspase-3; PI3K/Akt signaling pathway,Colorectal cancer,Cell viability assay; Colony formation assay; Apoptosis assay; Western blot,,Cell viability assay; Colony formation assay; Apoptosis assay; Western blot,,,"PMTZ induces the apoptosis of CRC cells by altering the expression of Bcl-2, Bax, and caspase-3.PMTZ exerted a dose-dependent inhibitory effect on the PI3K/AKT signaling pathway in CRC cells.",34560542
Azelastine,DB00972,2267,HRH1,Allergic conjunctivitis,,ARF1,Bcl-xL; Bcl-2; p-Drp1; p-ERK,Colorectal cancer,Mass spectrometry; Drug Affinity Responsive Target Stability (DARTS) assay; Biacore assay; Tumor xenograft,,Mass spectrometry; DARTS assay; Biacore assay; Tumor xenograft,,,"Azelastine, a current anti-allergic drug, was found to exert a significant inhibitory effect on CRC cell proliferation in vitro and in vivo, but not on ARF1-deficient or ARF1-T48S mutant cells. ARF1 knockout significantly attenuated the inhibitory effect of azelastine on CRC cell proliferation. Decreased expression levels of Bcl-xL and Bcl-2 proteins involved in the mitochondrial pathway of azelastine-treated CRC cells. Azelastine significantly decreased the expression of p-Drp1. p-ERK expression was significantly decreased in azelastine-treated CRC cells.",33408784
Metformin,DB00331,4091,ACACB; S47A1,Type-2 diabetes,,,GST; SOD; CAT; GPx and GR; AST; ALT; ALP; ?3 GT and XO; PC; AOPP; TNF-?¡À and HP,Liver tissue damage associated with prostate cancer and diabetes,ELISA; spectrophotometrically inform,,ELISA; Spectrophotometrically inform,,,"Administration of metformin to DC group decreased GST activities in a very significant manner (p < 0.0001). More so, SOD, CAT, GPx and GR activities decreased in a significant manner (p < 0.05). Metformin reversed AST activities in a very significant manner (p < 0.0001), while ALT, ALP, ?3 GT and XO activities were significantly decreased. Administration of metformin reversed PC, AOPP, TNF-?¡À and HP levels in DC group in a significant manner (p < 0.0001, p < 0.05), respectively. Metformin also significantly decreased PC, TNF-?¡À and HP levels in cancer groups (p < 0.05; p < 0.0001), respectively.",37255805
Disulfiram,DB00822,3117,AL3A2,Alcohol dependence,,,NPL4,Multiple myeloma,Western blot; Immunofluorescence; flow cytometry,,Western blot; Immunofluorescence; Flow cytometry,,,"Instead, the DSFa€?s metabolite CuET represents the ultimate anticancer agent, explaining potentiation of DSF by copper. Treatment of cells with CuET evokes phenotypes resembling inhibitors of protein degradation such as bortezomib or p97 via inhibition and aggregation of NPL4, an essential co-factor of p97 segregase involved in protein degradation upstream of the proteasome.",35246527
Pimozide,DB01100,16362,DRD2,Schizophrenia,,,?2-hexosaminidase; SYK; p38; ERK; and JNK; IL-4 and IL-10,Immunoglobulin E (IgE)-mediated MC activation and MC-mediated allergic responses,Measurement of cell viability; Measurement of MC degranulation,,Measurement of cell viability; Measurement of MC degranulation,,,"Pimozide treatment reduced released levels of the granule-related mediator ?2-hexosaminidase dose-dependently in DNP-HAS-activated RBLs. Pimozide pretreatment attenuated the phosphorylation of SYK, p38, ERK, and JNK in activated RBLs. total serum IL-4 and IL-10 levels were increased after the OVA challenge and those increases were suppressed by pimozide.",32311669
Acetylcysteine amide,DB14480,10176265,glutathione,Acetaminophen toxicity,,,IFN-?¡À; IFN-?2; receptor IFNAR1; ALT and AST; caspase-3; JNK1/2; SOD; CAT; IRF-7; IFNA2; IFNB1 and IFNAR1,Dengue,Cell viability assay; RT-PCR; ELISA,,Cell viability assay; RT-PCR; ELISA,,,Drug repurposing of N-acetyl cysteine as antiviral against dengue virus infection,30928439
Caspofungin,DB00520,3035406,Fungal cell wall,Fungal infection,,Potent A?2,,Alzheimer's disease,Molecular docking; Thioflavin-T fluorescence kinetics,Molecular docking,Thioflavin-T fluorescence kinetics,,,"Caspofungin (CAS) is a potent A?2 aggregation inhibitor that displays significantly reduced toxicity associated with AD. Drug reprofiling and REMD simulations demonstrated that CAS interacts with the ?2-sheet section, known as A?2 amyloid fibrils hotspot.",33722677
